indicativo,nombre,provincia,indsinop,latitud,longitud,altitud
2465,SEGOVIA,SEGOVIA,08213,40.945277777777775,-4.126388888888888,1005
2465A,"SEGOVIA, INSTITUTO",SEGOVIA,,40.946666666666665,-4.115833333333333,990
2491C,"LA COVATILLA, ESTACIÓN DE ESQUÍ",SALAMANCA,08205,40.355000000000004,-5.69,1960
2503X,OLMEDO,VALLADOLID,08142,41.325833333333335,-4.686944444444444,740
2539,VALLADOLID AEROPUERTO,VALLADOLID,08140,41.71194444444445,-4.855555555555555,846
2614,ZAMORA,ZAMORA,08130,41.51555555555556,-5.735277777777778,656
2630X,PUERTO DE SAN ISIDRO,LEON,08057,43.06222222222222,-5.376944444444444,1510
2661,"LEÓN, VIRGEN DEL CAMINO",LEON,08055,42.58833333333334,-5.651111111111112,912
2661B,LEÓN AEROPUERTO,LEON,08055,42.599444444444444,-5.6436111111111105,912
2737E,LAGUNAS DE SOMOZA,LEON,08123,42.3775,-6.196666666666667,1020
2755X,BENAVENTE,ZAMORA,08056,42.01083333333333,-5.666666666666667,715
2775X,VILLARDECIERVOS,ZAMORA,08125,41.94138888888889,-6.279722222222222,850
2811A,NAVARREDONDA DE GREDOS,AVILA,08206,40.35055555555556,-5.143055555555556,1525
2867,SALAMANCA AEROPUERTO,SALAMANCA,08202,40.95944444444445,-5.498333333333333,790
2870,SALAMANCA,SALAMANCA,08201,40.9575,-5.662222222222223,775
2916A,VITIGUDINO,SALAMANCA,08129,41.01138888888889,-6.437777777777778,769
2946X,SAELICES EL CHICO,SALAMANCA,08195,40.635,-6.6,680
3013,MOLINA DE ARAGÓN,GUADALAJARA,08232,40.84166666666667,-1.8788888888888888,1062
3044X,CAÑIZARES,CUENCA,08230,40.530277777777776,-2.15,928
3094B,TARANCÓN,CUENCA,08277,40.01138888888889,-3.0213888888888887,808
3100B,ARANJUEZ,MADRID,08229,40.06722222222223,-3.546111111111111,540
3110C,BUITRAGO DEL LOZOYA,MADRID,08146,41.00694444444444,-3.613611111111111,1030
3111D,SOMOSIERRA,MADRID,08145,41.135555555555555,-3.5802777777777774,1450
3129,MADRID AEROPUERTO,MADRID,08221,40.46666666666667,-3.5555555555555554,609
3130C,SIGÜENZA,GUADALAJARA,08150,41.08638888888889,-2.618055555555556,1005
3168A,"GUADALAJARA, INSTITUTO",GUADALAJARA,,40.63472222222222,-3.1666666666666665,685
3168C,"GUADALAJARA, EL SERRANILLO",GUADALAJARA,08226,40.659166666666664,-3.1733333333333333,639
3168D,GUADALAJARA,GUADALAJARA,08226,40.63027777777778,-3.15,721
3175,TORREJÓN DE ARDOZ,MADRID,08227,40.48861111111111,-3.443611111111111,607
3191E,COLMENAR VIEJO,MADRID,08219,40.69611111111111,-3.765,1004
3194U,"MADRID, CIUDAD UNIVERSITARIA",MADRID,08220,40.45166666666667,-3.7241666666666666,664
3195,"MADRID, RETIRO",MADRID,08222,40.411944444444444,-3.6780555555555554,667
3196,"MADRID, CUATRO VIENTOS",MADRID,08223,40.37555555555556,-3.786111111111111,690
3200,GETAFE,MADRID,08224,40.29944444444444,-3.7222222222222223,620
3259,"TOLEDO, LORENZANA",TOLEDO,,39.85944444444445,-4.025555555555555,540
3260B,TOLEDO,TOLEDO,08272,39.88472222222222,-4.045277777777778,515
3266A,PUERTO ALTO DEL LEÓN,MADRID,08217,40.70638888888889,-4.141944444444444,1532
3298X,SAN PABLO DE LOS MONTES,TOLEDO,08270,39.54694444444444,-4.350555555555555,917
3338,ROBLEDO DE CHAVELA,MADRID,08212,40.42777777777778,-4.25,763
3365A,TALAVERA DE LA REINA,TOLEDO,08274,39.95861111111111,-4.863611111111111,372
3391,SOTILLO DE LA ADRADA,AVILA,08208,40.28861111111111,-4.590833333333333,630
3434X,NAVALMORAL DE LA MATA,CACERES,08254,39.94583333333333,-5.5825,269
3463X,TRUJILLO,CACERES,08263,39.4825,-5.854166666666666,503
3469,"CÁCERES, CIUDAD",CACERES,,39.475833333333334,-6.376388888888888,459
3469A,CÁCERES,CACERES,08261,39.47138888888889,-6.338888888888889,394
3519X,PLASENCIA,CACERES,08252,40.043055555555554,-6.085833333333333,415
3526X,CORIA,CACERES,08251,40.00361111111111,-6.5575,313
3576X,VALENCIA DE ALCÁNTARA,CACERES,08260,39.414722222222224,-7.231111111111111,444
4061X,QUINTANAR DE LA ORDEN,TOLEDO,08275,39.59722222222222,-3.0483333333333333,692
4067,MADRIDEJOS,TOLEDO,08273,39.49194444444444,-3.5283333333333333,690
4090Y,SAN CLEMENTE,CUENCA,08256,39.416666666666664,-2.4205555555555556,728
4103X,TOMELLOSO,CIUDAD REAL,08276,39.16916666666666,-3.0075,662
4121,CIUDAD REAL,CIUDAD REAL,08348,38.98916666666667,-3.9202777777777778,628
4121C,"CIUDAD REAL, INSTITUTO",CIUDAD REAL,,38.98777777777778,-3.9291666666666667,627
4147X,VALDEPEÑAS,CIUDAD REAL,08351,38.75055555555556,-3.391388888888889,700
4148,VISO DEL MARQUÉS,CIUDAD REAL,08345,38.518055555555556,-3.5666666666666664,804
4220X,PUEBLA DE DON RODRIGO,CIUDAD REAL,08271,39.08361111111111,-4.621944444444445,531
4244X,HERRERA DEL DUQUE,BADAJOZ,08264,39.169444444444444,-5.062222222222222,447
4267X,HINOJOSA DEL DUQUE,CORDOBA,08335,38.49861111111111,-5.1211111111111105,551
4358X,DON BENITO,BADAJOZ,08333,38.955555555555556,-5.880555555555556,273
4386B,LLERENA,BADAJOZ,08336,38.23166666666667,-6.016944444444444,655
4410X,MÉRIDA,BADAJOZ,08331,38.91583333333333,-6.385555555555556,228
4452,BADAJOZ AEROPUERTO,BADAJOZ,08330,38.88333333333333,-6.813888888888889,185
4511C,JEREZ DE LOS CABALLEROS,BADAJOZ,08337,38.29861111111111,-6.765,381
4549Y,AYAMONTE,HUELVA,08381,37.19472222222222,-7.3950000000000005,3
4560Y,ALAJAR,HUELVA,08380,37.868611111111115,-6.675000000000001,572
4605,HUELVA,HUELVA,,37.25666666666667,-6.949722222222222,17
4642E,"HUELVA, RONDA ESTE",HUELVA,08383,37.27833333333333,-6.911666666666667,18
5000A,"CEUTA, MONTE HACHO",CEUTA,,35.89555555555555,-5.292222222222222,200
5000C,CEUTA,CEUTA,60320,35.88861111111111,-5.3469444444444445,87
5038X,CAZORLA,JAEN,08353,37.91583333333333,-3.003888888888889,782
5047E,BAZA,GRANADA,08424,37.505833333333335,-2.735,785
5051X,HUÉSCAR,GRANADA,08423,37.861111111111114,-2.6527777777777777,1092
5181D,ARROYO DEL OJANCO,JAEN,08352,38.31472222222222,-2.8897222222222223,580
5192,VILLARRODRIGO,JAEN,08354,38.48916666666667,-2.6375,862
5246,SANTA ELENA,JAEN,08350,38.34444444444445,-3.5352777777777775,770
5270,"JAÉN, INSTITUTO",JAEN,,37.77638888888889,-3.7888888888888888,510
5270B,JAÉN,JAEN,08417,37.777499999999996,-3.8088888888888888,580
5298X,ANDÚJAR,JAEN,08347,38.02305555555555,-4.0633333333333335,202
5390Y,VILLANUEVA DE CÓRDOBA,CORDOBA,08346,38.33305555555556,-4.608888888888888,750
5402,CÓRDOBA AEROPUERTO,CORDOBA,08410,37.848888888888894,-4.846666666666667,90
5427X,DOÑA MENCÍA,CORDOBA,08412,37.55611111111111,-4.353888888888888,650
5514,GRANADA BASE AÉREA,GRANADA,08420,37.13722222222222,-3.631388888888889,687
5530E,GRANADA AEROPUERTO,GRANADA,08419,37.189722222222215,-3.7894444444444444,567
5582A,LOJA,GRANADA,08414,37.16111111111111,-4.152777777777779,760
5612B,LA RODA DE ANDALUCÍA,SEVILLA,08399,37.19444444444444,-4.77,410
5641X,ÉCIJA,SEVILLA,08395,37.51611111111111,-5.085,130
5704B,CAZALLA DE LA SIERRA,SEVILLA,08392,37.92638888888889,-5.769722222222222,550
5783,SEVILLA AEROPUERTO,SEVILLA,08391,37.416666666666664,-5.879166666666667,34
5796,MORÓN DE LA FRONTERA,SEVILLA,08397,37.16444444444444,-5.6113888888888885,87
5860E,"MOGUER, EL ARENOSILLO",HUELVA,08384,37.09805555555556,-6.7380555555555555,41
5910,"ROTA, BASE NAVAL",CADIZ,08449,36.638888888888886,-6.3325,21
5911A,GRAZALEMA,CADIZ,08455,36.760555555555555,-5.3741666666666665,913
5960,JEREZ DE LA FRONTERA AEROPUERTO,CADIZ,08451,36.75055555555556,-6.055833333333333,27
5972X,SAN FERNANDO,CADIZ,08453,36.46555555555556,-6.205555555555556,28
5973,CÁDIZ,CADIZ,08452,36.499722222222225,-6.257777777777778,2
5995B,VEJER DE LA FRONTERA,CADIZ,08457,36.245555555555555,-5.965,186
6000A,MELILLA,MELILLA,60338,35.27638888888889,-2.956388888888889,52
6001,TARIFA,CADIZ,08458,36.013888888888886,-5.598888888888888,32
6032B,RONDA,MALAGA,08443,36.749722222222225,-5.168333333333334,766
6058I,ESTEPONA,MALAGA,08463,36.41694444444444,-5.155,19
6084X,FUENGIROLA,MALAGA,08480,36.53861111111111,-4.618333333333334,8
6106X,ANTEQUERA,MALAGA,08413,37.029444444444444,-4.748333333333333,408
6155A,MÁLAGA AEROPUERTO,MALAGA,08482,36.66611111111111,-4.482222222222222,6
6156X,"MÁLAGA, CENTRO METEOROLÓGICO",MALAGA,08481,36.717777777777776,-4.4816666666666665,54
6172O,"MÁLAGA, PUERTO",MALAGA,08479,36.71666666666667,-4.419722222222222,25
6205X,TORROX,MALAGA,08484,36.72638888888889,-3.957222222222222,3
6268X,MOTRIL,GRANADA,08485,36.72277777777778,-3.5302777777777776,12
6277B,ADRA,ALMERIA,08486,36.74722222222222,-3.0205555555555557,8
6293X,ROQUETAS DE MAR,ALMERIA,08492,36.68694444444444,-2.7016666666666667,3
6297,ALMERÍA,ALMERIA,,36.83111111111111,-2.4555555555555557,7
6302A,ABLA,ALMERIA,08427,37.14138888888889,-2.78,869
6325O,ALMERÍA AEROPUERTO,ALMERIA,08487,36.84638888888889,-2.3569444444444447,21
6332X,CARBONERAS,ALMERIA,08488,36.98027777777778,-1.903611111111111,16
6367B,HUÉRCAL-OVERA,ALMERIA,08428,37.39055555555556,-1.9436111111111112,300
6381,ALBORÁN,ALMERIA,08490,35.93833333333333,-3.036111111111111,15
7002Y,ÁGUILAS,MURCIA,08432,37.41722222222222,-1.5869444444444445,26
7012C,CARTAGENA,MURCIA,08434,37.60111111111111,-0.9877777777777778,17
7031,SAN JAVIER AEROPUERTO,MURCIA,08433,37.788888888888884,-0.8033333333333333,4
7031X,SAN JAVIER AEROPUERTO,MURCIA,08433,37.77833333333333,-0.8058333333333334,4
7096B,HELLÍN,ALBACETE,08355,38.54194444444444,-1.7030555555555555,605
7119B,CARAVACA DE LA CRUZ,MURCIA,08365,38.1025,-1.8772222222222223,643
7145D,CIEZA,MURCIA,08363,38.23277777777778,-1.3805555555555555,265
7178I,MURCIA,MURCIA,08430,38.00194444444445,-1.1708333333333334,61
7209,LORCA,MURCIA,08426,37.65472222222222,-1.6872222222222222,312
7228,"ALCANTARILLA, BASE AÉREA",MURCIA,08429,37.95777777777778,-1.2286111111111113,75
7247X,EL PINÓS/PINOSO,ALICANTE,08357,38.39972222222222,-1.0380555555555557,575
7275C,YECLA,MURCIA,08356,38.60166666666667,-1.159722222222222,640
8019,ALICANTE-ELCHE AEROPUERTO,ALICANTE,08360,38.282777777777774,-0.5708333333333333,43
8025,ALACANT/ALICANTE,ALICANTE,08359,38.3725,-0.49416666666666664,81
8050X,JÁVEA/ XÀBIA,ALICANTE,08370,38.78361111111111,0.16777777777777778,15
8058X,OLIVA,VALENCIA,08282,38.928888888888885,-0.09583333333333333,5
8096,CUENCA,CUENCA,08231,40.06722222222223,-2.1319444444444446,948
8175,ALBACETE BASE AÉREA,ALBACETE,08280,38.95416666666667,-1.856388888888889,702
8177A,CHINCHILLA,ALBACETE,08278,38.93583333333333,-1.66,880
8178D,ALBACETE,ALBACETE,08279,39.005833333333335,-1.8627777777777779,674
8293X,XÀTIVA,VALENCIA,08290,39.001666666666665,-0.5236111111111111,88
8309X,UTIEL,VALENCIA,08281,39.57555555555556,-1.2447222222222223,758
8325X,POLINYÀ DE XÚQUER,VALENCIA,08287,39.18472222222222,-0.3719444444444444,12
8368U,TERUEL,TERUEL,08235,40.35055555555556,-1.1241666666666668,900
8414A,VALENCIA AEROPUERTO,VALENCIA,08284,39.485,-0.4747222222222222,56
8416,VALÈNCIA,VALENCIA,08285,39.480555555555554,-0.3663888888888889,11
8416Y,"VALÈNCIA, VIVEROS",VALENCIA,08285,39.480555555555554,-0.3663888888888889,11
8489X,VILLAFRANCA DEL CID/VILLAFRANCA,CASTELLON,08241,40.43333333333333,-0.25583333333333336,1131
8500A,CASTELLÓ - ALMASSORA,CASTELLON,08286,39.95722222222223,-0.07194444444444445,48
8501,CASTELLÓ DE LA PLANA,CASTELLON,,39.98916666666667,-0.03222222222222222,23
8523X,VINARÒS,CASTELLON,08239,40.55416666666667,0.4297222222222222,111
9001D,REINOSA,CANTABRIA,08032,42.99194444444444,-4.160555555555556,870
9019B,"VALDERREDIBLE, POLIENTES   ",CANTABRIA,08033,42.80638888888888,-3.933888888888889,720
9051,MEDINA DE POMAR,BURGOS,08063,42.919999999999995,-3.4827777777777778,580
9087,VITORIA AERÓDROMO,ARABA/ALAVA,,42.849722222222226,-2.656111111111111,521
9091O,FORONDA-TXOKIZA,ARABA/ALAVA,08080,42.88194444444444,-2.735,513
9091R,VITORIA GASTEIZ AEROPUERTO,ARABA/ALAVA,08080,42.871944444444445,-2.7327777777777778,513
9111,BELORADO,BURGOS,08077,42.42111111111111,-3.1702777777777778,820
9170,"LOGROÑO, AEROPUERTO",LA RIOJA,08084,42.452222222222225,-2.331111111111111,353
9201K,JACA,HUESCA,08091,42.57888888888889,-0.5469444444444445,823
9208E,ARAGÜÉS DEL PUERTO,HUESCA,08095,42.70888888888889,-0.6730555555555555,1040
9244X,SOS DEL REY CATÓLICO,ZARAGOZA,08090,42.490833333333335,-1.213611111111111,626
9262,PAMPLONA,NAVARRA,,42.81777777777778,-1.6383333333333332,450
9263D,"PAMPLONA, AEROPUERTO",NAVARRA,08085,42.776944444444446,-1.65,459
9263X,"ARANGUREN, ILUNDAIN  ",NAVARRA,08089,42.77611111111111,-1.5325,572
9283X,CADREITA,NAVARRA,08153,42.206944444444446,-1.7113888888888888,268
9294E,"BARDENAS REALES, BASE AÉREA",NAVARRA,08087,42.198611111111106,-1.475277777777778,295
9381,"CALAMOCHA, AERÓDROMO",TERUEL,,40.865,-1.305,932
9381I,CALAMOCHA,TERUEL,08233,40.92611111111111,-1.2933333333333332,890
9390,DAROCA,ZARAGOZA,08157,41.114444444444445,-1.41,779
9394X,CALATAYUD,ZARAGOZA,08156,41.33111111111111,-1.6452777777777778,582
9434,"ZARAGOZA, AEROPUERTO",ZARAGOZA,08160,41.660555555555554,-1.0041666666666667,249
9434P,"ZARAGOZA, VALDESPARTERA",ZARAGOZA,08159,41.62083333333334,-0.935,254
9563X,CASTELLFORT,CASTELLON,08237,40.49861111111111,-0.18666666666666665,1220
9569A,CALANDA,TERUEL,08166,40.946666666666665,-0.23777777777777778,466
9573X,ALCAÑIZ,TERUEL,08164,41.058055555555555,-0.14166666666666666,334
9576C,BUJARALOZ,ZARAGOZA,08165,41.5225,-0.17444444444444443,357
9585,LA MOLINA,GIRONA,08117,42.3325,1.9394444444444445,1703
9619,LA SEU D'URGELL,LLEIDA,08115,42.35472222222222,1.4630555555555556,677
9698U,TALARN,LLEIDA,08112,42.20527777777778,0.8652777777777777,807
9720X,TÀRREGA,LLEIDA,08173,41.650555555555556,1.1494444444444445,388
9771,"LLEIDA, OBSERVATORIO",LLEIDA,,41.617222222222225,0.6211111111111112,199
9771C,LLEIDA,LLEIDA,08171,41.626111111111115,0.5980555555555556,185
9784P,BIELSA,HUESCA,08103,42.63,0.22472222222222224,992
9814A,TORLA,HUESCA,08101,42.626666666666665,-0.11166666666666668,1020
9898,"HUESCA, AEROPUERTO",HUESCA,08094,42.08444444444444,-0.32555555555555554,546
9981A,ESTACIÓN DE TORTOSA (ROQUETES),TARRAGONA,08238,40.82027777777778,0.49333333333333335,50
9987P,SANT JAUME D'ENVEJA,TARRAGONA,08240,40.69916666666666,0.81,1
9990X,"NAUT ARAN, ARTIES ",LLEIDA,08107,42.70027777777778,0.8769444444444445,1161
B013X,"ESCORCA, LLUC",ILLES BALEARS,08304,39.82333333333334,2.8858333333333333,490
B228,"PALMA, PUERTO",ILLES BALEARS,08301,39.555277777777775,2.625277777777778,3
B248,"SIERRA DE ALFABIA, BUNYOLA",ILLES BALEARS,08303,39.735,2.7130555555555556,1030
B278,"PALMA DE MALLORCA, AEROPUERTO",ILLES BALEARS,08306,39.56083333333333,2.736666666666667,8
B346X,PORRERES,ILLES BALEARS,08310,39.52166666666667,3.0191666666666666,120
B434X,PORTOCOLOM  ,ILLES BALEARS,08309,39.41444444444444,3.2716666666666665,17
B569X,CAPDEPERA,ILLES BALEARS,08311,39.71666666666667,3.4780555555555557,57
B691Y,SA POBLA,ILLES BALEARS,08312,39.74916666666667,3.0166666666666666,40
B893,"MENORCA, AEROPUERTO",ILLES BALEARS,08314,39.85472222222222,4.2155555555555555,91
B954,"IBIZA, AEROPUERTO",ILLES BALEARS,08373,38.87638888888889,1.3844444444444444,6
C029O,LANZAROTE AEROPUERTO,LAS PALMAS,60040,28.951944444444443,-13.600277777777777,14
C129Z,TAZACORTE,STA. CRUZ DE TENERIFE,60004,28.59583333333333,-17.915277777777778,62
C139E,LA PALMA AEROPUERTO,STA. CRUZ DE TENERIFE,60005,28.633055555555558,-17.755,33
C229J,PÁJARA,LAS PALMAS,60034,28.049166666666668,-14.358055555555556,15
C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,60035,28.44472222222222,-13.863055555555555,25
C329Z,SAN SEBASTIÁN DE LA GOMERA,STA. CRUZ DE TENERIFE,60008,28.08972222222222,-17.11138888888889,15
C429I,TENERIFE SUR AEROPUERTO,STA. CRUZ DE TENERIFE,60025,28.046944444444446,-16.561111111111114,64
C430E,IZAÑA,STA. CRUZ DE TENERIFE,60010,28.30888888888889,-16.499444444444446,2371
C439J,GÜÍMAR,STA. CRUZ DE TENERIFE,60018,28.31833333333333,-16.38222222222222,115
C447A,TENERIFE NORTE AEROPUERTO,STA. CRUZ DE TENERIFE,60015,28.4775,-16.329444444444444,632
C449C,STA.CRUZ DE TENERIFE,STA. CRUZ DE TENERIFE,60020,28.46333333333333,-16.255277777777778,35
C459Z,PUERTO DE LA CRUZ,STA. CRUZ DE TENERIFE,60012,28.418055555555558,-16.548055555555557,25
C619I,LA ALDEA DE SAN NICOLÁS,LAS PALMAS,60027,28.000833333333333,-15.81388888888889,10
C629X,"MOGÁN, PUERTO",LAS PALMAS,60036,27.81638888888889,-15.764166666666666,10
C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,60030,27.91777777777778,-15.395277777777777,24
C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,60029,28.08972222222222,-15.416111111111112,55
C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,60032,28.113055555555558,-15.421388888888888,15
C689E,MASPALOMAS,LAS PALMAS,60037,27.735833333333336,-15.595833333333333,6
C839I,TEGUISE,LAS PALMAS,,29.231944444444444,-13.501944444444444,10
C929I,HIERRO AEROPUERTO,STA. CRUZ DE TENERIFE,60001,27.81888888888889,-17.88888888888889,32
